"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Churc1",0.199702810810395,-0.322627827787353,0.145,0.181,1
"Prnp",0.203985796195741,-0.300732312173159,0.11,0.145,1
"Ndufa11",0.204390962103513,-0.333108153325892,0.211,0.239,1
"Auts2",0.205746005258976,-0.30126581066944,0.135,0.167,1
"Ets2",0.206017968050362,-0.25255501384694,0.29,0.319,1
"Nmi",0.2273151416144,-0.253156590216397,0.119,0.152,1
"Grina",0.236280107150069,-0.300064889726497,0.074,0.101,1
"Hint2",0.240687701961364,-0.342535342901099,0.11,0.138,1
"Coq10b",0.241247161843497,-0.250846799386915,0.074,0.101,1
"Pfdn6",0.260567550476678,-0.282865497239603,0.115,0.145,1
"Sar1a",0.275780141978787,-0.264255812718143,0.174,0.203,1
"Krcc1",0.281925898537553,-0.25596240606024,0.213,0.246,1
"Cyr61",0.288742299585993,-0.270589052226616,0.403,0.406,1
"Gm11808",0.292161201843186,-0.305421119422351,0.407,0.42,1
"Ilf2",0.29310958414556,-0.269727061905817,0.131,0.159,1
"Ndufv1",0.297411497602289,-0.258637315263688,0.162,0.188,1
"Trim12a",0.304922427021482,-0.281070428681843,0.09,0.116,1
"Tmem245",0.30859361998982,-0.250368879321064,0.104,0.13,1
"2510002D24Rik",0.315849231563883,-0.278737646967404,0.078,0.101,1
"Smim15",0.31704376804858,-0.288159605464035,0.112,0.138,1
"Ankrd11",0.34045709818045,-0.285811455192442,0.141,0.167,1
"Lrp10",0.356052790851895,-0.311525707980255,0.131,0.152,1
"Ifi47",0.367226192562242,-0.250577590210567,0.08,0.101,1
"Emc2",0.376385593596877,-0.279492883623015,0.147,0.167,1
"Srrm2",0.43748971335769,-0.257624752864708,0.397,0.384,1
"Wbp2",0.448796999481739,-0.262056726438484,0.143,0.159,1
"Efna1",0.462772167982543,-0.254098553920257,0.286,0.297,1
"Nbeal1",0.505985082286848,-0.289464880943089,0.227,0.232,1
"Adgrf5",0.570947910586326,-0.253733560531564,0.542,0.493,1
"Pkig",0.643365553423055,-0.299360009370492,0.117,0.123,1
"Amfr",0.707899623483329,-0.25179115063272,0.102,0.109,1
"Nfia",0.867890252159712,-0.253754424551208,0.137,0.13,1
